id,text
5284,"question : is this sentence positive or negative? 
 answer : positive 
 context : ze movie starts out so funny , then she is nothing . 
"
6422,"question : is this sentence positive or negative? 
 answer : positive 
 context : if you 're looking for a tale of brits behaving badly , watch snatch again . 
"
3848,"question : is this sentence positive or negative? 
 answer : negative 
 context : how i killed my father would be a rarity in hollywood . 
"
8271,"question : is this sentence positive or negative? 
 answer : negative 
 context : go back to sleep . 
"
4744,"question : is this sentence positive or negative? 
 answer : negative 
 context : ... this is n't even a movie we can enjoy as mild escapism ; it is one in which fear and frustration are provoked to intolerable levels . 
"
1947,"question : is this sentence positive or negative? 
 answer : positive 
 context : sorvino is delightful in the central role . 
"
5268,"question : is this sentence positive or negative? 
 answer : negative 
 context : no amount of arty theorizing -- the special effects are ` german-expressionist , ' according to the press notes -- can render it anything but laughable . 
"
2876,"question : is this sentence positive or negative? 
 answer : positive 
 context : a fanciful drama about napoleon 's last years and his surprising discovery of love and humility . 
"
7080,"question : is this sentence positive or negative? 
 answer : negative 
 context : just send it to cranky . 
"
2868,"question : is this sentence positive or negative? 
 answer : positive 
 context : director chris wedge and screenwriters michael berg , michael j. wilson and peter ackerman create some episodes that rival vintage looney tunes for the most creative mayhem in a brief amount of time . 
"
3146,"question : is this sentence positive or negative? 
 answer : positive 
 context : a wildly entertaining scan of evans ' career . 
"
8409,"question : is this sentence positive or negative? 
 answer : positive 
 context : a joyous occasion 
"
4193,"question : is this sentence positive or negative? 
 answer : negative 
 context : some episodes work , some do n't . 
"
7436,"question : is this sentence positive or negative? 
 answer : negative 
 context : with a `` spy kids '' sequel opening next week , why bother with a contemptible imitator starring a `` snl '' has-been acting like an 8-year-old channeling roberto benigni ? 
"
1567,"question : is this sentence positive or negative? 
 answer : positive 
 context : visually engrossing , seldom hammy , honorably mexican and burns its kahlories with conviction . 
"
5240,"question : is this sentence positive or negative? 
 answer : negative 
 context : first , for a movie that tries to be smart , it 's kinda dumb . 
"
