id,text
8181,"question : is this sentence positive or negative? 
 answer : negative 
 context : does n't come close to justifying the hype that surrounded its debut at the sundance film festival two years ago . 
"
7245,"question : is this sentence positive or negative? 
 answer : positive 
 context : often likable , but just as often it 's meandering , low on energy , and too eager to be quirky at moments when a little old-fashioned storytelling would come in handy . 
"
1692,"question : is this sentence positive or negative? 
 answer : positive 
 context : like the chilled breath of oral storytelling frozen onto film . 
"
1493,"question : is this sentence positive or negative? 
 answer : negative 
 context : but it 's hardly a necessary enterprise . 
"
4918,"question : is this sentence positive or negative? 
 answer : negative 
 context : the film 's lack of personality permeates all its aspects -- from the tv movie-esque , affected child acting to the dullest irish pub scenes ever filmed . 
"
6682,"question : is this sentence positive or negative? 
 answer : negative 
 context : zigzag might have been richer and more observant if it were less densely plotted . 
"
3882,"question : is this sentence positive or negative? 
 answer : positive 
 context : has enough wit , energy and geniality to please not only the fanatical adherents on either side , but also people who know nothing about the subject and think they 're not interested . 
"
8499,"question : is this sentence positive or negative? 
 answer : negative 
 context : a half-assed film . 
"
4012,"question : is this sentence positive or negative? 
 answer : positive 
 context : it will guarantee to have you leaving the theater with a smile on your face . 
"
1753,"question : is this sentence positive or negative? 
 answer : positive 
 context : if you 're a comic fan , you ca n't miss it . 
"
1824,"question : is this sentence positive or negative? 
 answer : positive 
 context : with dickens ' words and writer-director douglas mcgrath 's even-toned direction , a ripping good yarn is told . 
"
7848,"question : is this sentence positive or negative? 
 answer : negative 
 context : the whole talking-animal thing is grisly . 
"
8187,"question : is this sentence positive or negative? 
 answer : negative 
 context : any film that does n't even in passing mention political prisoners , poverty and the boat loads of people who try to escape the country is less a documentary and more propaganda by way of a valentine sealed with a kiss . 
"
7923,"question : is this sentence positive or negative? 
 answer : negative 
 context : not exaggerated enough to be a parody of gross-out flicks , college flicks , or even flicks in general . 
"
5712,"question : is this sentence positive or negative? 
 answer : positive 
 context : a dark , dull thriller with a parting shot that misfires . 
"
2061,"question : is this sentence positive or negative? 
 answer : positive 
 context : an ambitious movie that , like shiner 's organizing of the big fight , pulls off enough of its effects to make up for the ones that do n't come off . 
"
