text,id,label
"how do you get rid of winfixer???? i have gone out to their (extortionist!) site but nothing has helped.  i have recently downloaded norton 2006 and it hasn't detected anything.  i have found pieces by doing searches in safe mode but when i think i have everything deleted it shows up again. anyone successful??? this one drove me crazy, it took me a combination of programs to get rid of it.\n\ngo to this forum and follow the directions;\n\nhttp://www.geekstogo.com/forum/malware_removal_hijackthis_logs-f37.html\n\nall the tools you need are located on this site including step by step instructions.\n\npersonally i run adaware, cleanup, spybot, and avg anti-virus. you may want to run mozilla instead of internet explorer. beyond that, at home i only use apple imac's running osx.",train12546,computer
"are we the only grandparents needing finacial help to raise our grandkids? we are raising our grandkids and can get no help because we are the grandparents. but if they would of went to foster care, the state would pay them to take care of them. the children are 16yrs, 14yrs, 13yrs, and 7yrs old. my husband is 65 and i am 51. i really wish more grandparents would speak up with me and let's get some help here. we've already sacrificed and raised our own kids, but do not want to see them in the system. the state should be willing to help grandparents like they do foster care homes, and it shouldn't matter if we are millionares or using the nest egg we build up for old age, either one, the state is not backing up grandparents, but want to keep them with family. right, but with no help. it is very wrong to do this to grandparents that stand up and not let their grandchildren go to foster care. it's not fair to grandparents anywhere. hope to hear back from someone in this same predicament. wish i knew who to write in congress.!!!!!!! help me to help grandparents!! why not start by writing ur local congress representative? also, many charities have crises & family grants & loans. try getting info. abt ur local ones from ur local social worker/ advice centre.",train309931,politics
"y do guys wake up horny? i don't know, but it's fine with me :o",train28163,relationship
"where can i teach tennis in manhattan? have taught for six years\nplayed division i college tennis for 4 years\nwas an american east all-conference player\nhave played and for 20 years (am 25 years old)\nhave competed for 13 years\njust moved to downtown manhattan\nwilling to travel to any part of manhattan to teach it appears that the question period has expired. if you have received an answer that meets your needs, please choose a 'best answer.'\nregards.",train23005,sports
"whose frenetic talk show always ends in a quiet moment for his ""final thought""? jerry springer!!",train1294750,entertainment
"who has the highest 1 year cd? i already found a 1 year at 4.84% apy\nany 1 year cds out there better?  only looking at one year. with a $10,000 min deposit, that's about as good as it gets for now....(12/22/05). with a $500 minimum deposit, several banks are offering a 4.80% apy",train7101,business
"who will score 40 points or more tonight (6/20) for nba finals game 6? i think wade but not dirk.\n\nalso, click on the link to answer what will be the final score for tonight's game.\nhttp://answers.yahoo.com/question/index;_ylt=ah9t4yw37z1kyldzod0jz4psy6ix?qid=20060618213803aafzcor i agree. dirk is not having good game.s wade is on fire and i think he will score 40. dirk might because there is a sense of urgency, but i think it's wade.",train1313641,sports
"im 5'3.....? im 5'3 and weigh 133 pounds, am i over weight or just right? let me know your opinion, please be honest! your huge",train21565,health
who do u think will win the wc2006? brazil,train343924,sports
"don't you hate  asl??? it drives me crazy.? why does everyone always ask asl and get mad when you tell them that you dont want to say your age, or location? stupid i think. if a person says no i am not interested in saying, go ask someone else, i think they should be left alone. yes it gets on my nerves. you put all that stuff in your profile so they wont ask and they still ask anywaysk, and on top of that they keep bugging about getting on cam. you say no and they keep on. people can be annoying.",train1286627,relationship
"ladies...what was the most disgusting thing you have ever found in your purse? after having raised 2 boys, the disgusting items i have found are too numerous to list, but i just want to know if i am the only one. okay, we took the neighbor girl to the symphony with us and in the middle of the concert she leaned over and said she didn't feel well. i told her it was almost over and we would take her home. she then leaned over and puked into my purse. it is one thing to be covered in your own kids vomit but someone elses? the keys were in there. i had to fish them out.",train1295084,society
