text,label,id
"with dickens ' words and writer-director douglas mcgrath 's even-toned direction , a ripping good yarn is told .",positive,1824
"a dark , dull thriller with a parting shot that misfires .",positive,5712
a half-assed film .,negative,8499
zigzag might have been richer and more observant if it were less densely plotted .,negative,6682
the whole talking-animal thing is grisly .,negative,7848
"often likable , but just as often it 's meandering , low on energy , and too eager to be quirky at moments when a little old-fashioned storytelling would come in handy .",positive,7245
but it 's hardly a necessary enterprise .,negative,1493
"the film 's lack of personality permeates all its aspects -- from the tv movie-esque , affected child acting to the dullest irish pub scenes ever filmed .",negative,4918
"has enough wit , energy and geniality to please not only the fanatical adherents on either side , but also people who know nothing about the subject and think they 're not interested .",positive,3882
like the chilled breath of oral storytelling frozen onto film .,positive,1692
does n't come close to justifying the hype that surrounded its debut at the sundance film festival two years ago .,negative,8181
"any film that does n't even in passing mention political prisoners , poverty and the boat loads of people who try to escape the country is less a documentary and more propaganda by way of a valentine sealed with a kiss .",negative,8187
"an ambitious movie that , like shiner 's organizing of the big fight , pulls off enough of its effects to make up for the ones that do n't come off .",positive,2061
"if you 're a comic fan , you ca n't miss it .",positive,1753
it will guarantee to have you leaving the theater with a smile on your face .,positive,4012
"not exaggerated enough to be a parody of gross-out flicks , college flicks , or even flicks in general .",negative,7923
