text,label,id
"And maybe, as Fred Sandford used to say, ""one across the lips"". That to those who released this film on an unsuspecting public. And perhaps to the person in ""Rue Morgue"" who called this a ""Fender Hellbender"" and said it was good.<br /><br />Five young girls, apparently taking a short-cut home from a high school football game, become lost and stop to ask directions at some small store in the middle of nowhere. While there the driver accidentally hits a parked SUV & knocks out a headlight, but the girls all decide to just leave & not go find the driver. But the driver does come to find them, and it's not just that the headlight on her vehicle got dinged, it's for another reason that the girls do not yet understand. When the driver does first catch them she (yes, it's a she) brandishes a shot gun & makes them strip down, and keeps screaming at them, ""how much did you see?"". Of course the girls are scared to death & don't know what she's talking about.<br /><br />As the night rolls on the girls end up in a cat and mouse game with the driver of the SUV, who manages to inflict all manner of injuries on the girls, who are remarkably resilient to shot gun blasts and screwdrivers where they didn't want them. Eventually they come to find that something happened back at that store after they left that is the reason for this woman's psychotic rage. And eventually they have a chance at revenge and take it about as far as they can go.<br /><br />There are elements of this film that are rather disturbing and scary, but unfortunately, those moments are undermined by bad acting, bad dialog, and huge lapses of credibility. One girl is hit by a shot gun blast and appears to be mortally wounded, and she's feeling cold, her life is passing before her eyes, but she got better? And how far can a mini-van run on an almost empty gas tank at speeds of 80 miles per hour? I need one of those things, it apparently gets GREAT mileage.<br /><br />There should have been an ending when the girls got their revenge, but the film goes on for a bit after that, which is an anti-climax, but they at least learn some of what set the woman off, and the driver is still worried about ""messing up her mom's van"", which is obviously the least of anyone's worries.<br /><br />So this isn't the worst film I've seen, but it's too amateur to be good and yet a bit too scary and gruesome at times to be completely terrible. But it does take the cake for plenty of shrill hysterics and you'll want to put two across your ears if you watch this. Which, by the way, I don't necessarily recommend. 4 out of 10.",negative,197
"The plot was very thin, although the idea of naked, sexy, man eating sirens is a good one.<br /><br />The film just seemed to meander from one meaningless scene to another with far too few nuddie/splatter/lesbian mouth licking shots in between.<br /><br />The characters were wooden and one dimensional.<br /><br />The ending made no sense.<br /><br />Considering it had Tom Savini and Shaun Hutson in it, you would have expected a decent plot and decent special effects. Some of the effects were quite good but there were just too few of them.<br /><br />Brownie points go for occasional flashes of tits and bush, naturally, and of course the lesbian moments. I also thought that the scene with the sirens bathing in the pool under the waterfall could be viewed as an innovative take on the 'shower scene'<br /><br />The film had many of the elements that go into making a first rate horror film but they were poorly executed or used too sparsely.<br /><br />If I had been watching this alone and aged 15, i would have really enjoyed it for about 10 minutes (with 1 hand of the remote control), then lost interest suddenly and needed a pizza...",negative,419
"""Pixote: A Lei do Mais Fraco"" deals with what is perhaps the greatest of all Brazilian themes: poverty. And along with poverty the other unnatural feelings and actions it brings; prostitution, violence, crime, rape and murder.<br /><br />Brazil is the country of paradoxes, and its social problems are present everywhere. The difference between the rich and the poor; the beautiful and the ugly; happiness and the most profound human decay.<br /><br />""Pixote"" is one of the films that dare to touch and open these so painful wounds, and does it without the slightest glimmer of hope, in an honest portrayal of a country that, like Pixote himself, is already lost.",positive,279
"Previous reviewer Claudio Carvalho gave a much better recap of the film's plot details than I could. What I recall mostly is that it was just so beautiful, in every sense - emotionally, visually, editorially - just gorgeous.<br /><br />If you like movies that are wonderful to look at, and also have emotional content to which that beauty is relevant, I think you will be glad to have seen this extraordinary and unusual work of art.<br /><br />On a scale of 1 to 10, I'd give it about an 8.75. The only reason I shy away from 9 is that it is a mood piece. If you are in the mood for a really artistic, very romantic film, then it's a 10. I definitely think it's a must-see, but none of us can be in that mood all the time, so, overall, 8.75.",positive,491
"This is a typical late Universal Horror flick: its technically comptent, if by the numbers, with a cookie cutter plot and some serious overacting. The most interesting part of this film is its stunt casting of Rondo Hatton, a man with a bone disease as the film's ""monster"". Its sad to see this man exploited, but he probably made good use of the money they paid him. Hatton is less horrifying than the studio hoped, as I more often felt pity over fear or even loathing. Martin Koslack is on board as the film's mad artist, and he is very amusing in this part. I for one enjoy seeing Koslack in just about anything; for some reason the man amuses me. The only other part of the film that entertained me is the film's absurd take on the art world. Here we are shown evil art critics who revel in their ability to break artists; this is side by side with the film's male ""hero"" who is an ""artist"" who paints...get this...pin up girls. Somehow our hero's work is reviewed side by side with the villan's absurdist sculpture. Also amusing is the film's chief nasty critic, who at one point claims that he despises the hero's pin up art because ""women like that don't exist"" to which our heroine replies with an assurance that the critic just doesn't get out enough. Finally, there's a bit of a subplot about the heroine's (who is an art critic herself) domestication by the leading man....completely anti-feminist and ridiculous to witness. Overall this film is a rather mediocre picture with a few amusing elements.",negative,135
"In the late 1940s there was a short film series entitled ""Flicker Flashbacks"" in which excerpts from silent dramas featuring the likes of Mary Pickford and Blanche Sweet were played for laughs. Scratchy clips from antiquated old movies were rearranged, projected too fast, and given an overlay of jangly music and lame quips. The attitude expressed through this brutal treatment pretty much summed up mid-century Hollywood's view of its early days: silent cinema was considered hokey, florid, a little embarrassing, and only good for a chuckle. During the 1950s this attitude gradually began to change for a number of reasons. James Agee's famous 1949 essay on the silent clowns for Life Magazine was a factor, but television played a major role in reacquainting viewers with silent movies. Admittedly, the TV networks sometimes handled the material as crudely as the ""Flicker Flashbacks"" people, but higher-toned series such as ""Silents, Please"" treated the films with respect. Another milestone was Robert Youngson's compilation feature THE GOLDEN AGE OF COMEDY, which proved to be something of a surprise hit when it was released to theaters late in 1957.<br /><br />I don't know if Charles Chaplin was aware of Youngson's film or its success at the box office, but it was around this time that he decided to launch a theatrical re-release of three of his best short comedies, A DOG'S LIFE, SHOULDER ARMS (both made in 1918), and THE PILGRIM (made in 1922 and released the following year). These three movies happened to work well as a trio since they contrast nicely in plot, theme, and setting. In addition, all three feature familiar faces from Chaplin's stock company, some of whom play multiple roles in each short. At the time of the re-release the films hadn't been publicly screened in over thirty years, so perhaps Chaplin was concerned about maintaining his reputation with a new generation of movie-goers, especially since his best work was seldom shown on television in the new medium's early days.<br /><br />Unfortunately, Chaplin apparently concluded that the films moved too quickly at the old silent projection speed, so the decision was made to ""stretch-print"" them, which meant that every other frame was printed twice. Maybe he wanted to avoid the 'Flicker Flashbacks' look, but this wasn't the best way to go about it. Aesthetically speaking, the results were awful and practically destroyed the movies' flow of action, but nonetheless that's how THE CHAPLIN REVUE was released to theaters in 1959, and that's the version that was transferred to video and made commercially available by Playhouse Video in the 1980s. I purchased a VHS copy of the movie at the time and was terribly disappointed with the jerky, stop-and-start rhythm of the films.<br /><br />It's a particular pleasure to find that David Shepard's restoration of Chaplin's compilation (originally produced for the laser-disc format) is a vast improvement over the Playhouse Video version. For the most part, the projection speed has been corrected. The ""stretch-printing"" is gone at any rate, though the action seems to drag a bit at times. For example: in A DOG'S LIFE during Edna & Charlie's awkward dance in the Green Lantern Cafe, Edna's bare arms appear visibly blurred; at another point, during the trench scene in SHOULDER ARMS when Charlie is relieved from sentry duty, the action appears oddly slowed-down for a few moments, but this may be the result of a maneuver by the film restorers to cover a bit of decomposition. Over all, picture quality is fantastic considering the age of the movies themselves.<br /><br />Other bonuses: the REVUE begins with rare behind-the-scenes footage taken at the Chaplin studio. This includes shots of an obviously staged, jokey rehearsal session where Chaplin throttles diminutive actor Loyal Underwood, as well as scenes of Charlie at his dressing table putting on his makeup and trimming the famous mustache. These scenes are accompanied by Chaplin's narration, delivered at a rapid clip. Chaplin also composed a new musical score for the compilation, and in my opinion his themes for the REVUE rank with his best compositions, especially the pieces used during the café sequence in A DOG'S LIFE. The only exception is the song written for THE PILGRIM, a pseudo-Singin' Cowboy number called ""Bound for Texas"" sung 'Fifties-style by Matt Monro (sounding rather like Gene Autry), which is distractingly anachronistic and out of place. Otherwise, throughout the rest of the REVUE, the music is perfectly suited to the action and the atmosphere.<br /><br />It feels as though the Image release of THE CHAPLIN REVUE is, in a sense, its long-postponed debut, presenting these classic comedies the way they were meant to be seen all along. In this form, the REVUE ranks with Chaplin's most durable and enjoyable works.",positive,657
"First of all, the actor they have to play Jesus has blue eyes... half the actors they have playing Jews have blue eyes. Aren't there enough brown-eyed actors out there? Jesus being depicted as having blue eyes is one of my pet peeves. He was a full-blooded Jew! Second of all, what is it with old English-language movies that are supposed to take place in non-English-speaking countries, and everybody has English accents? (Another example is David Lean's ""Dr. Zhivago"".) Aren't there enough either Jewish actors or actors who can do a Israeli accent? The movie often is not true to the Scriptures, and so seems to doubt the legitimacy of Jesus's claim to be the Messiah. In the bible, when Jesus is baptized by John, a voice comes from heaven saying ""This is my beloved son, in whom I am well pleased"" (Matthew 3:17, Mark 1:11, Luke 3:22). In the movie, John the Baptist says this! The screenwriter seems to be trying to portray the believers as crazy, as well. For example, in the bible, the angel Gabriel tells Mary she will become pregnant with the Son of God (Luke 1:26-38), but in the movie, we do not see or hear any angel - Mary appears to be talking to a moonbeam, and when Mary's mother hears her talking to someone and peeks in on her, she doesn't hear or see anyone either. Also, in the movie, when Jesus is speaking to the Pharisees in the Temple in Jerusalem, he says, ""You shall not see me here again, not until you learn to cry, 'Blessed is he who comes in the name of the Lord', for I and my father are one and the same."" The correct line (Matthew 23:39 and Luke 13:35)is ""You will not see me again until you say, 'Blessed is he who comes in the name of the Lord.'"" Period. Jesus never claimed to be God. The movie cuts out a lot of important parts (the Sermon on the Mount is very expurgated), but then spends a lot of time on stuff that isn't even in the bible (a whole scene with Mary Magdalene talking with a john). It seems like the screenwriter, instead of wanting to do a movie version of the Scriptures, wanted to make a movie about what he thinks might have really happened behind (and between) the scenes. The movie has one gem though - during the scene where Jesus tells the parable of the Prodigal Son, at Matthew the tax collector's house, I had tears streaming down my face. It is the best movie I've seen about Jesus's ministry (but that isn't saying much, because the others are just terrible). ""Jesus Christ Superstar"" is my favourite movie about Jesus's last days (""The Passion of the Christ"" is way too graphic), though I like how ""Jesus of Nazareth"", instead of just ending with Jesus's death, continues on and shows his resurrection.",negative,917
"When i got this movie free from my job, along with three other similar movies.. I watched then with very low expectations. Now this movie isn't bad per se. You get what you pay for. It is a tale of love, betrayal, lies, sex, scandal, everything you want in a movie. Definitely not a Hollywood blockbuster, but for cheap thrills it is not that bad. I would probably never watch this movie again. In a nutshell this is the kind of movie that you would see either very late at night on a local television station that is just wanting to take up some time, or you would see it on a Sunday afternoon on a local television station that is trying to take up some time. Despite the bad acting, cliché lines, and sub par camera work. I didn't have the desire to turn off the movie and pretend like it never popped into my DVD player. The story has been done many times in many movies. This one is no different, no better, no worse. <br /><br />Just your average movie.",negative,918
"do not ever watch this film...it is the biggest pile of sh*te i have ever come across in my whole life. and thats saying something. the acting, storyline and filming were absolutely dire this is THE WORST FILM IN THE WORLD!!! seriously doesn't it even give you a hit seeing as it cost my 99p from sainsburys and it was only made in 2005? hahaha this film is like a cheap college movie you can even see the camera in the corner of the screen....although if u really wanna watch it you gotta watch the ""scary shark scene""...possibly the best piece of acting i have seen in my life...ha ha. i mean seriously this is the biggest waste of 2 1/2 hours EVER!!",negative,0
This is a must for All but especially African Americans. It is about time there is a movie that expresses and shows the concerns going on in African American relationships. It also allows other cultures to see in a fictional humorous manner how positive African American relationships are and the outcomes of them instead of the undesirable stereotype that plagues the African American community. I love this film a must see!!,positive,717
