text,label,id
"I got this movie for fifty cents at a going out of business sale. I want my fifty cents back. Bad acting, poor script writing, lousy direction, historically inaccurate, even the sound of the film is awful. It's not the subject matter that offends. I'm one of the many who find suspense films and true crime films very interesting. The subject matter could have been treated more seriously, with much more attention to detail and accuracy, and the lack of respect shown for the victims and their devastated friends and family is enough to puzzle anyone. Also, there is little to no attention paid to what could have caused someone to begin the bizarre behavior that Ed Gein was displaying in acting out these horrible crimes. <br /><br />Save your time and sanity. Don't watch this awful film. If you bought it, you have my sympathy. It's not a total waste though...you can throw away the disc and make use of the plastic case!",negative,989
"Blood Legacy starts with the arrival of lawyer Tom Drake (Norman Bartold) to the Dean estate formerly owned by the now deceased Christopher Dean (John Carradine), upon his arrival he is greeted by Mr. Dean's four children, Gregory (Jeff Morrow) & his wife Laura (Merry Anders), Victoria (Faith Domergue), Johnny (Richard Davalos) plus Leslie (Brooke Mills) & her fella Carl Isenberg (John Smith). Drake plays a tape recording of they're late Father's wishes after his death, the estate worth 136 million dollars is to be split equally between his four children, if any should die then the money would be split equally between the rest & if all were to die the freaky servants Elga (Ivy Bethune), Igor (Buck Kartalian) & the more mundanely named Frank (John Russell) would pocket the lot. Well, not satisfied with a quarter share of $136 million (which is still almost $35 million back in 1971 which doesn't sound too bad to me) someone decides they want it all for themselves & it's not long before decapitated heads are turning up in the fridge...<br /><br />Co-written, produced & directed by Roy Monson Blood Legacy disappointed me on two accounts. For starters this film's alternate & much more common title is Legacy of Blood which is also the title of an obscure horror film directed by Andy Milliagn back in '78 which I've always wanted to see, both films are regularly mixed up as both have similar stories & when I checked my on screen cable TV guide for Legacy of Blood I was excited because it said it was the Milligan film & even listed him as director so when I actually sat down to watch it & I heard John Carradine's voice & I then knew it wasn't the Milligan film that I had wanted to see, my heart sank. Then, of course, there's the simple yet undeniably straight forward fact that Blood Legacy is a total utter piece of crap that is literally painful to watch at times. The script by Monson & Eric Norden is slow, boring & extremely predictable. The character's are absolutely bizarre in an annoying way, the freak of a servant who ask's his sister (?) to cane him, the strange set of Brother's & Sisters who are just downright unlikeable & so far removed from reality that any tension or mystery that the simplistic whodunit story could have achieved is sorely missing & then there's the awful twist ending that you can guess within the first 10 minutes. It's boring to watch, it's poorly paced & it's just a chore to even think about it. Please, someone save me as this is really bad stuff. I could go on all day about how bad Blood Legacy is, I really could.<br /><br />Director Monson was either working with a none existent budget or judging by this he shouldn't have even been directing traffic. The entire film looks ugly, it's poorly photographed & there is no atmosphere or scares. The blood & gore is tame, there's an axe in a head, a decapitated head, a scene when someone is stung to death by wasp's & the best murder when someone's face is eaten by piranha. However there are question marks over this scene, so there's the victim, right. There's the tank of piranha, right. Victims head is placed in piranha tank, right. Pirahna eat victims face, right. Water remains crystal clear despite said victim having his face eaten, erm where's the blood?<br /><br />Technically Blood Legacy is terrible, it looks awful, the sound was obviously shot live & it's muffled & hard to hear which considering the terrible dialogue is maybe a blessing in disguise. The acting was not going to win anyone any awards that's for sure, the least said about it the better.<br /><br />Blood Legacy is an awful film, there really isn't a single positive aspect to it or if there is I can't think of it. Do yourself a favour & don't bother with this one, there are much better films out there.",negative,14
My girlfriend picked this one; as a southern born and raised African American I found this movie's plot and premise totally without credibility. To believe that class and racial biases would be so easily and comfortably suspended would only come from someone totally unfamiliar with the ante-bellum south. Totally absurd !!! I wonder how they got a good actor like Harvey Keitel and a good actress like Andie McDowell (who being southern knows better) to participate in this crap,negative,434
"Okay, I'll admit right up front that the Inki cartoons made by Loony Tunes are pretty offensive and I can understand why Warner Brothers has pulled them off the market. Seen today, the huge-lipped and very stereotypical Inki is not politically correct. However, the cartoons were well-made and it's a shame they aren't released with some sort of explanatory prologue (such as the one with Leonard Maltin they included with some recent politically incorrect Donald Duck cartoons that were recently released on DVD). In other words, throwing out the cartoons completely is to forget our history. Plus, Inki, Little Black Sambo and other racist cartoons are out there--especially on the internet.<br /><br />This Inki cartoon has our little hero out hunting. At first, he's chasing a cute little caterpillar but later accidentally happens upon a lion--a lion that is more than happy to make Inki his dinner. However, through all this, a weird Minah appears again and again...and eventually you'll see why this bird is so important to the story.<br /><br />Cute, well made and clever. I like the Inki cartoons. Plus, I take pleasure in showing them to extremely thin-skinned liberal friends just to watch them have apoplectic fits or even heart attacks. Loads of fun, folks!",positive,591
"Krajobraz po bitwie like many films of Wajda is, perhaps, not understandable for the ""rest of the world"". Story based on the few short stories of Tadeusz Borowski, who during WWII was the prisoner of Oswiecim, Dachau and Dautmergen camps. Borowski in his books describes inhuman life in the Nazi camps from the point of view vorarbeiter Tadek - porte parole of author who also was on the privileged position among the prisoners. Borowski was merciless for the humanity and merciless for himself. He describes the human history as the endless chain of exploitation and humiliation. Ironically, after the returning to Poland he stopped writing artistic prose and became communistic propagandist, producing stream of anti-imperialistic and anti-american press publications. After few years he committed suicide. In the movie Wajda changes point of view. Vorarbeiter Tadek - character created by the Tadeusz Janczar - plays only supporting role. Story is focused on the poet, destroyed, burned out by the war and imprisonement and his one-day love affair with Nina, Jewish girl who escaped from communistic Poland although she actually hates jewish life and mentality. As the background we can observe sad grotesque of so-called ""dipis"" (displaced persons) life, who after the liberation are settled by the Americans in SS barracks. Marches, patriotic kitsch mixed with hunting for the extra dose of food and/or prostituting German girls.<br /><br />",positive,162
"My Mother Frank begins as a warm, amiable comedy about a middle-aged Catholic woman (Frank, short for Francis, played by Sinead Cusack) who shakes herself out of the doldrums by enrolling as a student in her son's university. Most of her friends and family are horrified, not least her son (Matthew Newton), who is busy falling in love with his best mate's girlfriend (Rose Byrne). Meanwhile Frank has raised the ire of her disapproving English tutor (Sam Neill).<br /><br />Matthew Newton is utterly disarming as David; relaxed and natural in the role, even when the character's uptight. He generates valuable goodwill, steering the audience through some of the film's more awkward, broad comedy moments. Not long after the half-way point, first-time writer-director Mark Lamprell expertly steers his film into darker emotional territory and gives Cusack a real chance to shine.<br /><br />The supporting cast is full of familiar and welcome faces (Lynette Curran, Sacha Horler, Nicholas Bishop) and all the principals (including a more animated than usual Sam Neill) are excellent. While it meanders a little towards the end, My Mother Frank delivers more than it promises and is a genuine Australian crowd-pleaser.",positive,359
"This gem for gore lovers is extremely underrated. It's pure delight and fun! Gratuitous servings of blood, insanity and black humor, which can please even the most demanding lover of the genre. A full exploitation of the almost universal fear of dentists and flawlessly shot. Only for the connoisseurs.",positive,576
"OK this movie had a terrible premise. Be serious according to the movie they had just been through an apocalyptic war yet they have money to buy huge robots and pit them against each other. Each country decides instead of investing into rebuilding their country they would rather fight with robots no one could afford. Here's a better idea, lets rely on our most inept resource,jocks, to fight our battles. <br /><br />Everyone says what about the director, what about him. He makes a good movie, he makes a bad movie. There is no reason to give this movie some credit just because of the director, maybe he was asleep? I thoroughly enjoyed this movie, because it was so cheesy and ridiculous I had to laugh. I actually had a good time watching it, well except for the cowboy mentor who turns out to be an assassin(trust me no one would see this guy as an assassin, so it is a surprise, however lame) What kind of training exercise is a jungle jim anyway. I was sad to see Mst3k had not done this one. I am giving a two star rating however because nothing could be as bad as ""manos the hands of fate.""<br /><br />The budget does not matter either, I have seen plenty of reasonable movies that had nothing for budgets like cube. The storyline was not even plausible and I have seen better acting in school plays. Surly they could have afforded an eleven year old from any middle school play.<br /><br />Anyway pick it up, it is a fun movie to watch.",negative,684
"OK this movie was by far worse then the first one and the first one sucked! The zombie make up was extremely fake! The acting is very poor! And it doesn't really follow the first one! While watching this I kept thinking wow the first one is a masterpiece compared to this. I would say catch it on TV, Don't spend your money on it! Its not the worst movie i've ever seen but its on the list. I started watching it last night and fell asleep so i watched it today and almost fell asleep again! The plot was pointless, I mean i get the fact that a small military group are sent on a mission to get the blood of the lead zombie and bring it back so they can use it to save lives and stop zombies but they made it where you wanted everyone to die. They made plenty of bad guys who really were just annoying. If you ask me this was a rip off of resident evil and not a good rip off either. The plot could have made it if the acting was good and if they actually made you feel scared to see whats behind the corner. With these zombies my grandma could have went in that building and survived! out of a 1-10 i give it a 2.",negative,514
"I was 19 in 1970 when it came out and having heard how funny it was when it came out and reading the reviews here, I finally rented it and watched it. I didn't laugh once - a very unfunny flick - and I usually love Reiner. I cannot for the life of me figure why this is seen as funny. I had not one chuckle. And I love comedies! Oh well, at least now I know what all the shouting was about. Not my idea of a comedy. Go rent The Navigator or The Love Nest by Buster Keaton - now THOSE are comedy classics! If you rent this one - have a back-up rental so your whole evening isn't a loss. Score 3 out of 10",negative,174
